IID	C1	C2	C3
BT549_BREAST	-0.0427257	0.00730172	-0.0902439
CAL120_BREAST	-0.0424365	-0.00413465	-0.0614784
CAL148_BREAST	-0.0287567	-0.0287251	0.0174027
CAL51_BREAST	-0.0351987	-0.0289595	0.0259478
CAL851_BREAST	-0.0149896	0.0787444	-0.0409083
CAMA1_BREAST	-0.0357431	-0.0268668	0.00884612
DU4475_BREAST	-0.0304382	-0.0272842	0.0261148
EFM192A_BREAST	-0.0362069	-0.0185123	-0.00522543
EFM19_BREAST	-0.0425523	-0.0163395	-0.0332802
HCC1569_BREAST	0.132673	-0.0170668	0.00287646
HMC18_BREAST	0.000135534	0.153249	0.0249257
HMEL_BREAST	0.112707	-0.029559	0.0470449
HS274T_BREAST	-0.0315937	-0.0253091	0.029909
HS281T_BREAST	-0.0278815	-0.0280681	0.026878
HS343T_BREAST	-0.0289796	-0.0272113	0.0266803
HS578T_BREAST	-0.0415715	-0.0137466	-0.026786
HS606T_BREAST	-0.0268181	-0.0248123	0.0284715
HS739T_BREAST	0.0020657	0.116234	0.0650704
HS742T_BREAST	-0.0369475	-0.022001	0.0227169
MDAMB175VII_BREAST	0.138756	-0.0220586	0.0311896
MDAMB231_BREAST	-0.0344792	-0.0101582	-0.0202513
MDAMB415_BREAST	-0.030436	-0.00756027	-0.00181862
MDAMB453_BREAST	-0.0369359	-0.0214915	0.00147271
MDAMB468_BREAST	0.152023	0.0168425	-0.123501
T47D_BREAST	-0.0391695	-0.00501832	-0.0380184
UACC812_BREAST	-0.00979607	0.0606695	0.0257159
ZR7530_BREAST	0.115297	-0.0281583	0.0302494
