ID	GT_Call_Rate	Het_Rate
AU565_BREAST	0.1075	0.187461
BT20_BREAST	0.1724	0.149578
BT474_BREAST	0.1064	0.168639
BT483_BREAST	0.1321	0.22138
BT549_BREAST	0.09383	0.0784891
CAL120_BREAST	0.09955	0.116541
CAL148_BREAST	0.06655	0.230444
CAL51_BREAST	0.02171	0.270656
CAL851_BREAST	0.08305	0.11508
CAMA1_BREAST	0.09284	0.207111
DU4475_BREAST	0.07078	0.264106
EFM192A_BREAST	0.0678	0.186375
EFM19_BREAST	0.09032	0.15792
EVSAT_BREAST	0.1023	0.151691
HCC1143_BREAST	0.1609	0.102856
HCC1187_BREAST	0.1024	0.0911188
HCC1395_BREAST	0.1122	0.0946005
HCC1419_BREAST	0.1134	0.242653
HCC1428_BREAST	0.1193	0.186868
HCC1500_BREAST	0.1354	0.172015
HCC1569_BREAST	0.09929	0.207585
HCC1599_BREAST	0.208	0.183033
HCC1806_BREAST	0.1574	0.0994604
HCC1937_BREAST	0.1914	0.0870657
HCC1954_BREAST	0.1373	0.175254
HCC202_BREAST	0.1434	0.155362
HCC2157_BREAST	0.1217	0.179776
HCC2218_BREAST	0.1089	0.223596
HCC38_BREAST	0.1774	0.114629
HCC70_BREAST	0.2126	0.167353
HDQP1_BREAST	0.1131	0.101282
HMC18_BREAST	0.09576	0.125421
HMEL_BREAST	0.009609	0.311494
HS274T_BREAST	0.03119	0.27219
HS281T_BREAST	0.02987	0.282755
HS343T_BREAST	0.0242	0.279512
HS578T_BREAST	0.08155	0.164751
HS606T_BREAST	0.04796	0.278319
HS739T_BREAST	0.02421	0.252727
HS742T_BREAST	0.01471	0.262562
JIMT1_BREAST	0.1137	0.150785
KPL1_BREAST	0.1072	0.20817
MCF7_BREAST	0.147	0.194913
MDAMB134VI_BREAST	0.111	0.249822
MDAMB157_BREAST	0.1154	0.140009
MDAMB175VII_BREAST	0.09118	0.267706
MDAMB231_BREAST	0.0705	0.175144
MDAMB361_BREAST	0.1107	0.203411
MDAMB415_BREAST	0.07235	0.195536
MDAMB436_BREAST	0.1051	0.110912
MDAMB453_BREAST	0.08923	0.195737
MDAMB468_BREAST	0.09114	0.143086
SKBR3_BREAST	0.1239	0.196851
T47D_BREAST	0.09661	0.118797
UACC812_BREAST	0.08083	0.194215
UACC893_BREAST	0.1094	0.177568
YMB1_BREAST	0.1513	0.159054
ZR751_BREAST	0.1081	0.143503
ZR7530_BREAST	0.08956	0.264622
