IID	C1	C2	C3
59M_OVARY	-0.0502243	0.00287624	0.00843601
A2780_OVARY	-0.00490488	0.0669989	-0.206983
COLO704_OVARY	-0.050603	0.0171047	0.00275175
COV362_OVARY	-0.0511744	-0.00132045	0.00713428
COV434_OVARY	-0.0508092	0.0292815	-0.000276783
COV504_OVARY	-0.0467816	0.00953423	0.00705701
COV644_OVARY	-0.0352722	0.0047807	-0.00493475
EFO27_OVARY	-0.0495137	0.0259597	0.00614942
ES2_OVARY	-0.0453449	0.0169757	-0.00303732
FUOV1_OVARY	0.094271	-0.00949825	0.0118352
HEYA8_OVARY	-0.0494253	0.0216124	0.0066794
HS571T_OVARY	-0.065454	-0.167989	-0.0337697
IGROV1_OVARY	-0.0513892	0.0200059	-6.07756e-06
JHOC5_OVARY	0.0917625	-0.00514322	0.00263563
JHOM1_OVARY	0.0902738	-0.00106048	0.00115721
JHOM2B_OVARY	0.0886759	0.000993926	0.00202512
MCAS_OVARY	0.0923809	0.0018995	0.00460546
OAW28_OVARY	-0.0511805	-0.00619271	0.0100323
OAW42_OVARY	-0.0509289	0.0151797	0.00227939
OC314_OVARY	-0.0571842	0.0230071	0.0577702
OC316_OVARY	-0.0572277	0.022664	0.0577082
OELE_OVARY	-0.0479422	0.0323222	-0.00534036
ONCODG1_OVARY	-0.0471205	0.0105687	0.00877363
OV56_OVARY	-0.0484005	0.0152831	0.00475236
OV7_OVARY	-0.0517241	0.0193824	0.00106649
OV90_OVARY	-0.0449697	0.0185585	-0.000402524
OVCAR4_OVARY	-0.0501043	-0.00960163	0.0144817
OVCAR5_OVARY	-0.0499393	-0.00903253	0.0233757
OVISE_OVARY	0.0906593	-0.00422329	0.0076554
OVK18_OVARY	0.0875286	0.00830512	-0.00181767
OVMANA_OVARY	0.0874749	-0.00330693	0.00426796
OVSAHO_OVARY	0.0983836	-0.018074	0.0147273
OVTOKO_OVARY	0.0923917	0.000172894	0.00730467
RMGI_OVARY	0.0905878	-0.00203407	0.00253052
RMUGS_OVARY	0.0842071	-0.0067957	-0.00239597
SKOV3_OVARY	-0.0501295	0.0233682	0.00595494
SNU8_OVARY	0.0876026	0.00109318	0.00162982
TOV112D_OVARY	-0.0650524	-0.166913	-0.0356826
TOV21G_OVARY	-0.0496345	0.0215404	0.00238502
TYKNU_OVARY	0.0962356	-0.0182833	0.00748472
