ID	GT_Call_Rate	Het_Rate
59M_OVARY	0.08287	0.191165
A2780_OVARY	0.04759	0.293728
CAOV3_OVARY	0.1061	0.133118
CAOV4_OVARY	0.116	0.163932
COLO704_OVARY	0.04552	0.252754
COV318_OVARY	0.1287	0.179881
COV362_OVARY	0.08345	0.15823
COV434_OVARY	0.02822	0.299131
COV504_OVARY	0.07929	0.207936
COV644_OVARY	0.07383	0.189639
DOV13_OVARY	0.1167	0.167311
EFO21_OVARY	0.1037	0.16755
EFO27_OVARY	0.03098	0.283251
ES2_OVARY	0.0697	0.244516
FUOV1_OVARY	0.07731	0.164263
HEYA8_OVARY	0.06273	0.255008
HS571T_OVARY	0.0521	0.0866028
IGROV1_OVARY	0.04818	0.26826
JHOC5_OVARY	0.06263	0.171769
JHOM1_OVARY	0.0714	0.198549
JHOM2B_OVARY	0.05984	0.216333
JHOS2_OVARY	0.1197	0.157715
JHOS4_OVARY	0.1673	0.130407
KURAMOCHI_OVARY	0.1628	0.158595
MCAS_OVARY	0.05884	0.217741
NIHOVCAR3_OVARY	0.1148	0.215608
OAW28_OVARY	0.09766	0.156749
OAW42_OVARY	0.08433	0.253441
OC314_OVARY	0.08276	0.220299
OC316_OVARY	0.08097	0.219161
OELE_OVARY	0.01115	0.307019
ONCODG1_OVARY	0.08246	0.224687
OV56_OVARY	0.03181	0.236314
OV7_OVARY	0.04509	0.268384
OV90_OVARY	0.05437	0.253886
OVCAR4_OVARY	0.09662	0.114995
OVCAR5_OVARY	0.09926	0.134953
OVCAR8_OVARY	0.1047	0.110462
OVISE_OVARY	0.08729	0.18923
OVK18_OVARY	0.02881	0.261186
OVKATE_OVARY	0.1204	0.170146
OVMANA_OVARY	0.08551	0.198987
OVSAHO_OVARY	0.07837	0.113937
OVTOKO_OVARY	0.04552	0.219581
RMGI_OVARY	0.05482	0.218834
RMUGS_OVARY	0.07537	0.175273
SKOV3_OVARY	0.0549	0.263884
SNU119_OVARY	0.131	0.123993
SNU840_OVARY	0.1393	0.193559
SNU8_OVARY	0.04799	0.228829
TOV112D_OVARY	0.0922	0.0932742
TOV21G_OVARY	0.03152	0.283432
TYKNU_OVARY	0.06753	0.136932
