IID	C1	C2	C3
PD10010a	-0.00602029	0.0032132	-0.0234993
PD10014a	-0.0102963	0.0107862	-0.0292636
PD11337a	-0.00988605	0.0195793	-0.028398
PD11338a	-0.00993272	0.0212212	-0.0200765
PD11339a	-0.00944668	0.0206487	-0.0281701
PD11340a	-0.00736208	0.0142352	-0.0254237
PD11342a	-0.00974591	0.0137281	-0.00728197
PD11343a	-0.0029171	0.00810243	-0.0191103
PD11352a	-0.00549205	-0.00412539	0.00822143
PD11355a	0.000477742	0.00382637	0.0128213
PD11357a	-0.00700694	0.000435183	0.00169134
PD11358a	-0.00810586	0.0107478	-0.00336325
PD11359a	-0.00678151	-0.00123805	0.00533911
PD11361a	-0.0100347	0.0113774	-0.0096554
PD11364a	-0.00495898	-0.00723089	0.00618924
PD11365a	-0.00609714	-0.0025946	0.0022327
PD11366a	-0.00956588	-0.000918801	0.0048101
PD11367a	-0.00668617	-0.0031862	-0.00522884
PD11368a	-0.00309902	-0.0122471	0.00538034
PD11369a	-0.0059274	0.00726	-0.0279498
PD11372a	-0.0101237	0.018315	-0.025858
PD11374a	-0.010978	0.0189007	-0.0226275
PD11375a	-0.0101124	0.0176386	-0.0192635
PD11376a	-0.0137594	0.0265922	-0.0290792
PD11380a	-0.0106007	0.016194	-0.0201668
PD11381a	-0.0122599	0.0205835	-0.0204621
PD11384a	-0.00971532	0.0206856	-0.020927
PD11386a	-0.00701952	-0.00448118	0.00549921
PD11388a	-0.00866411	0.0148003	-0.0172994
PD11389a	-0.012527	0.0197859	-0.0245882
PD11394a	-0.0126151	0.0270227	-0.0351013
PD11395a	-0.00464095	-0.00512845	0.00450621
PD11396a	-0.0124456	0.0156515	-0.0270914
PD11397a	-0.00354422	-0.00968752	0.00114966
PD11398a	-0.00713391	0.0130096	-0.0271819
PD11399a	-0.00465085	0.0162203	-0.0109187
PD11402a	-0.00674914	-0.00349804	0.00575647
PD11740a	-0.00298048	0.0138349	0.00260552
PD11741a	-0.000536973	0.00428907	0.0110222
PD11752a	0.00242825	-0.00368162	0.00133989
PD11762a	-9.31233e-05	0.00635041	0.00758563
PD11816a	-0.00412666	-0.00504783	0.00352623
PD11818a	0.00967199	0.0082983	-0.00315637
PD11819a	-0.00451594	0.0161875	-0.00819034
PD13296a	0.00032828	-0.0220684	0.00332408
PD13297a	0.00383674	-0.0288789	-0.000687631
PD13299a	0.000855044	-0.0181855	-0.00100094
PD13302a	-0.00171618	-0.0161847	0.00534857
PD13304a	-0.00357948	-0.0151991	0.0075899
PD13306a	-0.00543132	-0.00350434	0.000832895
PD13307a	-0.00315753	-0.00975879	0.00536206
PD13310a	-0.0051509	-0.00653061	0.0048802
PD13312a	-0.00455652	-0.00220653	0.00465881
PD13416a	-0.00646095	-0.00209279	0.00521352
PD13419a	0.0162224	-0.0005409	0.00873127
PD13420a	-0.00570921	-0.00395435	0.00734943
PD13422a	-0.00644064	-0.00632171	0.00724326
PD13424a	-0.00358455	-0.00801007	0.00489069
PD13425a	0.00109772	-0.0198577	0.00486685
PD13427a	0.0325972	0.00976977	0.00760611
PD13428a	-0.00221953	-0.0112547	0.00208338
PD13606a	-0.00176801	-0.0118901	-0.00205676
PD13618a	-0.0103354	0.00973792	-0.0119862
PD13619a	-0.00833225	0.00166878	-0.00890622
PD13620a	-0.00619412	-0.00289926	-0.00421332
PD13622a	0.052709	-0.0111597	-0.00745377
PD13625a	0.0186592	0.0220654	0.00991951
PD13626a	-0.00639805	-0.00266162	0.00776871
PD13629a	-0.00774388	0.000125322	0.00187065
PD13630a	-0.00690018	-0.000522065	0.00367112
PD13631a	-0.00496498	-0.00516581	0.00228635
PD13752a	-0.00220789	-0.00566232	0.00587302
PD13753a	-0.00916997	0.00473837	-0.00170291
PD13754a	-0.00193593	-0.00858622	0.00149476
PD13755a	-0.0121386	0.0134343	-0.0117916
PD13756a	-0.01113	0.0107744	-0.0136392
PD13757a	-0.00838797	0.00465783	-0.000975043
PD13758a	-0.00657027	0.00895039	-0.00404522
PD13761a	-0.00548608	0.000632565	-0.000477243
PD13762a	-0.00989635	0.0101937	-0.00415737
PD13763a	-0.00696969	0.00777802	-0.00797802
PD13764a	-0.00970538	0.0115195	-0.0157005
PD13765a	-0.00758692	0.00409305	-0.0063277
PD13766a	-0.011764	0.0172782	-0.0160688
PD13767a	-0.00869247	0.0047079	-0.00426044
PD13768a	-0.00837102	0.00888961	-0.00544738
PD13770a	-0.00916389	0.00860234	-0.00780663
PD13771a	-0.00688495	0.00932459	-0.0189522
PD14432a	-0.00745193	0.00359457	-0.00275554
PD14433a	-0.00805497	0.000960977	-0.00321944
PD14435a	-0.0022612	-0.0127196	0.00448726
PD14437a	-0.000516269	0.00359987	0.00443724
PD14439a	-0.00546954	0.000981791	0.00254936
PD14441a	-0.0109446	0.0178753	-0.0119126
PD14450a	-0.00660205	-0.00281318	0.00349748
PD14453a	-0.00236723	-0.00510878	0.00409244
PD14454a	-0.0105594	0.018815	-0.0153878
PD14456a	-0.00353821	-0.00114467	0.00763338
PD14457a	-0.00494312	-0.00548187	0.00139561
PD14458a	0.000836223	0.00722688	0.0117862
PD14459a	-0.00302608	-0.00416489	0.00222942
PD14462a	-0.00480382	0.011795	-0.000884042
PD14465a	-0.0077463	0.00308605	-0.00536216
PD14467a	0.00141151	0.00359286	0.00848223
PD14468a	-0.003791	-0.00411057	0.00792174
PD14471a	-0.00285281	-0.004572	0.00362162
PD14472a	-0.00654892	0.00137815	0.00992794
PD14473a	-0.00688242	-0.000566833	0.00728111
PD17973a	-0.00391268	-0.000294796	0.0091145
PD17981a	-0.0108487	0.0149831	-0.0254867
PD17991a	-0.00713901	0.00247027	0.00211421
PD17994a	-0.0103524	0.00925395	-0.0106709
PD18100a	-0.00666743	-0.000685402	0.003824
PD18101a	-0.00853984	0.00778597	-0.00272022
PD18149a	-0.00887215	0.00225026	-0.00158449
PD18247a	-0.00683319	-0.000643244	0.00618383
PD18251a	0.00487063	-0.0153155	0.00213058
PD18257a	-0.00777115	0.000151	-0.000667694
PD18258a	-0.00612834	0.00289466	0.00352548
PD18259a	-0.00929942	0.000846913	-0.000320454
PD18264a	-0.00314069	-0.0059765	0.00536349
PD18269a	-0.00790079	0.00110802	0.00322034
PD18728a	-0.00924726	0.00504647	-0.00315886
PD18730a	-0.00719482	-0.00336579	0.00631655
PD18733a	-0.00521899	-0.00721771	-9.02813e-07
PD18734a	-0.00576785	-0.00172001	-0.00279619
PD18748a	-0.0049727	-0.00177711	-0.000796517
PD18749a	-0.00387018	0.00461931	-0.0048433
PD18751a	-0.00864707	-0.00291787	0.000182735
PD18754a	-0.00636634	0.00664692	-0.0135782
PD18756a	-0.00741575	0.00105361	0.00128368
PD18768a	-0.00454053	-0.00983864	0.00657981
PD18769a	-0.00706997	0.00180339	0.00707156
PD18771a	-0.00481771	-0.000762939	-0.00115461
PD18775a	-0.00649897	-0.00176888	0.00802526
PD18776a	-0.013895	0.0365111	-0.0302455
PD3851a	-0.00261865	-0.0181468	0.00951267
PD3890a	0.025618	0.0168982	0.0383354
PD3904a	0.00260241	-0.0160328	0.00697202
PD3905a	-0.00477	-0.0113397	0.00809053
PD3989a	-0.00682043	-0.0035595	0.0074746
PD4069a	-0.00660088	-0.00476498	0.00729996
PD4085a	0.0106765	-0.00476122	0.0148052
PD4086a	0.0581017	0.0584246	0.0643044
PD4088a	-0.00329967	-0.00194084	0.0053267
PD4103a	-0.00519783	-0.0126841	0.00354255
PD4107a	-0.000392035	-0.0151646	0.00150065
PD4115a	0.000695439	-0.0215099	0.0100282
PD4116a	0.00624848	-0.0189132	0.00798922
PD4194a	-0.00314793	-3.95045e-05	0.0092551
PD4198a	-0.00319684	-0.00583367	0.00773605
PD4199a	-0.00257467	-0.00640639	0.00766189
PD4225a	-0.00739345	4.67195e-05	0.00302817
PD4248a	-0.00454386	-0.00594195	0.0082901
PD4252a	0.0435822	-0.00904061	-0.00106712
PD4255a	-0.00365286	-0.0112076	0.0106338
PD4261a	-0.00420776	-0.00358482	0.00538905
PD4264a	-0.00496401	-0.00960412	0.0031427
PD4266a	-0.00421372	-0.000873719	0.0100451
PD4267a	-0.00209671	-0.0025562	0.0111832
PD4607a	-0.00681127	-0.00359629	0.00637552
PD4826a	-0.00506233	-0.00860006	0.00766665
PD4833a	-0.00240112	-0.00555649	-0.00114298
PD4836a	0.000748931	-0.00851347	0.0137684
PD4841a	-0.00360382	-0.0100253	-0.00225288
PD4872a	-0.00887871	0.00430266	-0.00550047
PD4874a	-0.00414586	-0.00875695	0.00548443
PD4875a	-0.00463797	-0.0124618	0.00291969
PD4876a	-0.00615427	-0.0115271	0.00315391
PD4951a	-0.00554497	-0.00654117	0.00524106
PD4952a	-0.00304553	-0.0175268	0.00321153
PD4953a	-0.00703421	-0.00674025	0.00722128
PD4954a	-0.00604673	-0.0113307	0.00835837
PD4956a	0.000739395	-0.0219253	0.00256187
PD4957a	-0.00518108	-0.0067456	0.00491612
PD4958a	-0.00509985	-0.010012	0.0074818
PD4959a	-0.00300999	-0.00852364	0.00765625
PD4962a	-0.00414754	-0.00883693	0.00723376
PD4965a	-0.00544735	-0.00350961	0.00643877
PD4967a	-0.00524237	-0.0028664	0.0086046
PD4968a	-0.000592052	-0.0133124	0.00521622
PD4970a	-0.00638482	-0.00696657	0.0070094
PD4971a	-0.00196804	-0.0192448	0.00445977
PD4972a	-0.00756513	-0.00352254	0.00850428
